0	20
1	52
2	137
3	325
4	809
5	1986
6	4831
7	10499
8	20210
9	33023
10	43745
11	46585
12	40776
13	29858
14	18392
15	9743
16	4422
17	1794
18	658
19	221
20	67
21	17
22	5
23	1
