217	34981	1304	18993	244722
218	34784	1173	17816	246227
219	34583	1098	16729	247590
220	34413	1030	15731	248826
221	34258	938	14793	250011
222	34103	878	13884	251135
223	33969	815	13001	252215
224	33798	785	12213	253204
225	33665	748	11398	254189
226	33564	694	10643	255099
227	33459	644	9943	255954
228	33358	611	9295	256736
229	33260	538	8721	257481
230	33168	497	8208	258127
231	33074	490	7641	258795
232	33008	451	7126	259415
233	32932	426	6693	259949
234	32854	406	6246	260494
235	32791	377	5836	260996
236	32722	352	5455	261471
237	32656	352	5069	261923
238	32600	332	4738	262330
239	32549	305	4443	262703
240	32510	281	4184	263025
241	32471	251	3900	263378
242	32434	222	3629	263715
243	32401	199	3357	264043
244	32368	181	3132	264319
245	32334	176	2933	264557
246	32306	165	2725	264804
247	32280	154	2547	265019
248	32253	148	2383	265216
249	32219	149	2215	265417
250	32202	132	2079	265587
251	32176	130	1952	265742
252	32153	127	1823	265897
253	32141	112	1716	266031
254	32125	94	1579	266202
255	32100	102	1463	266335
256	32086	90	1388	266436
257	32067	86	1306	266541
258	32052	89	1217	266642
259	32043	82	1135	266740
260	32025	75	1068	266832
261	32008	78	988	266926
262	31991	76	941	266992
263	31987	65	880	267068
264	31977	66	811	267146
265	31964	61	766	267209
266	31956	52	714	267278
267	31946	45	665	267344
268	31942	45	613	267400
269	31935	42	572	267451
270	31930	34	546	267490
271	31926	30	515	267529
272	31917	29	488	267566
273	31915	27	459	267599
274	31910	25	433	267632
275	31907	23	404	267666
276	31905	21	380	267694
277	31900	17	363	267720
278	31896	19	338	267747
279	31893	17	309	267781
280	31890	17	295	267798
281	31887	18	271	267824
282	31884	16	253	267847
283	31882	14	245	267859
284	31878	15	232	267875
285	31873	17	210	267900
286	31870	17	199	267914
287	31868	16	183	267933
288	31867	15	170	267948
289	31864	14	165	267957
290	31860	13	152	267975
291	31859	11	138	267992
292	31858	10	123	268009
293	31857	10	120	268013
294	31854	10	113	268023
295	31852	8	104	268036
296	31846	13	97	268044
297	31845	13	88	268054
298	31843	14	85	268058
299	31843	11	81	268065
300	31842	10	78	268070
301	31841	5	80	268074
302	31840	5	72	268083
303	31840	3	72	268085
304	31840	3	67	268090
305	31840	2	65	268093
306	31840	1	64	268095
307	31840	0	60	268100
308	31840	0	56	268104
309	31840	0	53	268107
310	31838	2	50	268110
311	31838	2	47	268113
312	31836	4	44	268116
313	31836	4	42	268118
314	31835	5	38	268122
315	31835	3	35	268127
316	31835	3	32	268130
317	31834	2	32	268132
318	31834	2	31	268133
319	31834	1	29	268136
320	31834	1	25	268140
321	31834	1	24	268141
322	31833	1	24	268142
323	31832	2	23	268143
324	31832	2	20	268146
325	31831	3	18	268148
326	31831	3	12	268154
327	31831	2	12	268155
328	31831	1	11	268157
329	31830	2	11	268157
330	31830	1	11	268158
331	31830	1	10	268159
332	31830	1	9	268160
333	31830	1	9	268160
334	31830	0	10	268160
335	31830	0	10	268160
336	31829	1	10	268160
337	31829	1	10	268160
338	31829	1	10	268160
339	31828	2	10	268160
340	31828	2	8	268162
341	31828	1	9	268162
342	31828	1	7	268164
343	31827	2	7	268164
344	31826	2	7	268165
345	31825	3	7	268165
346	31825	3	7	268165
347	31825	3	6	268166
348	31825	2	7	268166
349	31825	1	8	268166
350	31824	1	9	268166
351	31824	1	9	268166
352	31824	1	8	268167
353	31824	1	7	268168
354	31824	1	7	268168
355	31824	0	7	268169
356	31824	0	7	268169
357	31824	0	7	268169
358	31824	0	7	268169
359	31824	0	6	268170
360	31824	0	6	268170
361	31824	0	6	268170
362	31824	0	6	268170
