0	299980	20	0	0
1	299980	20	0	0
2	299980	20	0	0
3	299980	20	0	0
4	299980	20	0	0
5	299980	0	20	0
6	299977	3	20	0
7	299977	3	20	0
8	299975	5	20	0
9	299971	9	20	0
10	299970	10	20	0
11	299968	9	23	0
12	299966	11	23	0
13	299962	13	25	0
14	299957	14	29	0
15	299955	15	30	0
16	299954	14	32	0
17	299953	13	34	0
18	299946	16	38	0
19	299945	12	43	0
20	299941	14	45	0
21	299941	13	46	0
22	299939	14	47	0
23	299938	8	54	0
24	299933	12	55	0
25	299925	16	59	0
26	299922	19	59	0
27	299917	22	61	0
28	299913	25	62	0
29	299909	24	67	0
30	299905	20	55	20
31	299899	23	58	20
32	299895	22	63	20
33	299890	23	67	20
34	299881	28	71	20
35	299875	30	75	20
36	299870	29	78	23
37	299863	32	82	23
38	299857	33	85	25
39	299848	33	90	29
40	299841	34	95	30
41	299834	36	98	32
42	299819	44	103	34
43	299805	52	105	38
44	299799	49	109	43
45	299785	56	114	45
46	299771	63	120	46
47	299752	67	134	47
48	299732	73	141	54
49	299720	79	146	55
50	299695	90	156	59
51	299677	94	170	59
52	299654	98	187	61
53	299624	108	206	62
54	299600	120	213	67
55	299568	127	230	75
56	299544	133	245	78
57	299515	139	263	83
58	299477	147	289	87
59	299443	157	309	91
60	299390	178	337	95
61	299348	196	355	101
62	299300	215	380	105
63	299246	231	413	110
64	299188	255	438	119
65	299124	266	485	125
66	299064	284	522	130
67	298990	310	563	137
68	298911	335	611	143
69	298845	343	660	152
70	298762	362	717	159
71	298673	391	770	166
72	298553	437	829	181
73	298459	452	894	195
74	298343	502	954	201
75	298206	556	1023	215
76	298076	597	1098	229
77	297940	613	1199	248
78	297763	696	1273	268
79	297589	754	1377	280
80	297420	786	1489	305
81	297243	833	1601	323
82	297031	909	1714	346
83	296810	953	1861	376
84	296575	1014	2011	400
85	296292	1128	2148	432
86	296020	1223	2301	456
87	295740	1291	2484	485
88	295455	1355	2667	523
89	295128	1447	2868	557
90	294760	1532	3098	610
91	294390	1630	3328	652
92	293949	1791	3560	700
93	293477	1978	3791	754
94	293011	2117	4060	812
95	292521	2239	4364	876
96	291981	2409	4674	936
97	291397	2552	5041	1010
98	290842	2635	5434	1089
99	290180	2831	5834	1155
100	289510	3011	6241	1238
101	288803	3178	6692	1327
102	288059	3338	7156	1447
103	287288	3554	7617	1541
104	286495	3685	8163	1657
105	285628	3882	8696	1794
106	284675	4128	9273	1924
107	283710	4349	9881	2060
108	282743	4545	10475	2237
109	281735	4760	11094	2411
